Time (s)	Heart Rate (Hz)	Weighted SD (Hz)
5.000000	1.223946	0.081059
13.750000	1.221385	0.081639
22.500000	1.256188	0.070220
31.250000	1.261651	0.075013
40.000000	1.249138	0.092835
48.750000	1.250191	0.071048
57.500000	1.258474	0.074956
66.250000	1.257887	0.089462
75.000000	1.257858	0.082586
83.750000	1.237119	0.074843
92.500000	1.231468	0.075691
101.250000	1.240510	0.070470
110.000000	1.271272	0.072691
118.750000	1.272105	0.072408
127.500000	1.263232	0.071364
136.250000	1.278737	0.077324
145.000000	1.267720	0.085131
153.750000	1.239674	0.071159
162.500000	1.235768	0.077485
171.250000	1.254471	0.073042
180.000000	1.257283	0.065605
188.750000	1.241275	0.070580
197.500000	1.237082	0.079332
206.250000	1.249650	0.069548
215.000000	1.219240	0.081329
223.750000	1.240001	0.073389
232.500000	1.240702	0.072877
241.250000	1.284507	0.069244
250.000000	1.307100	0.071904
258.750000	1.302691	0.068524
267.500000	1.305557	0.073060
276.250000	1.298433	0.070523
285.000000	1.292886	0.075730
293.750000	1.279126	0.076609
302.500000	1.271776	0.085668
